Domain,Company,Services,Revenue share,Region,First Interaction Date,Tenure (mo.),Tenure (years),Collaboration Type,Continious collaboration,Engagement Source,Notes
acme.com,Acme Corporation,Software Development,15%,US,2021-01-15,48,4.0,Staff Augmentation,Yes,Referral,Key client
techstart.io,TechStart,Product Development,8%,Canada,2022-06-01,30,2.5,Dedicated Team,Yes,Direct,Growing account
globalsolutions.net,Global Solutions Inc,Consulting,12%,US,2020-03-20,68,5.7,Mixed,Yes,Conference,Strategic partner
innovate.co,Innovate Co,Mobile Development,6%,Asia Pacific,2023-01-10,24,2.0,Project-Based,No,Direct,New client
financetech.com,FinanceTech Ltd,FinTech Solutions,20%,Europe,2019-05-15,80,6.7,Dedicated Team,Yes,Partnership,Top revenue
healthsys.org,HealthSys,Healthcare IT,10%,US,2021-09-01,40,3.3,Staff Augmentation,Yes,Referral,Healthcare domain
eduplatform.edu,EduPlatform,E-Learning,5%,Europe,2023-03-15,21,1.8,Project-Based,Yes,Direct,Education sector
retailpro.com,RetailPro Solutions,E-Commerce,9%,Canada,2022-02-01,34,2.8,Dedicated Team,Yes,Conference,Retail focus
autosys.de,AutoSystems GmbH,Automotive Software,11%,Europe,2020-11-10,62,5.2,Mixed,Yes,Partnership,Automotive
datainc.com,Data Inc,Data Analytics,7%,US,2022-08-20,28,2.3,Dedicated Team,Yes,Direct,Analytics expertise
